Country,Population,Yearly_change
India,1428627663,11454490
China,1425671352,-215985
United States,339996563,1706706
Indonesia,277534122,2032783
Pakistan,240485658,4660796
Nigeria,223804632,5263420
Brazil,216422446,1108948
Bangladesh,172954319,1767947
Russia,144444359,-268955
Mexico,128455567,951442
Ethiopia,126527060,3147136
Japan,123294513,-657179
Philippines,117337368,1778359
Egypt,112716598,1726495
DR Congo,102262808,3252596
Vietnam,98858950,672094
Iran,89172767,622197
Turkey,85816199,474958
Germany,83294633,-75210
Thailand,71801279,104249
United Kingdom,67736802,227866
Tanzania,67438106,1940358
France,64756584,129956
South Africa,60414495,520610
Italy,58870762,-166712
Kenya,55100586,1073099
Myanmar,54577997,398691
Colombia,52085168,211144
South Korea,51784059,-31751
Uganda,48582334,1332749
Sudan,48109006,1234802
Spain,47519628,-39002
Argentina,45773884,263566
Algeria,45606480,703255
Iraq,45504560,1008438
Afghanistan,42239854,1111083
Poland,41026067,1168922
Canada,38781291,326964
Morocco,37840044,382073
Saudi Arabia,36947025,538205
Ukraine,36744634,-2957105
Angola,36684202,1095215
Uzbekistan,35163944,536292
Yemen,34449825,753211
Peru,34352719,303131
Malaysia,34308525,370304
Ghana,34121985,646115
Mozambique,33897354,927836
Nepal,30896590,349010
Madagascar,30325732,714018
Côte d'Ivoire,28873034,712492
Venezuela,28838499,536803
Cameroon,28647293,732757
Niger,27202843,994866
Australia,26439111,261698
North Korea,26160821,91405
Taiwan,23923276,29882
Mali,23293698,700108
Burkina Faso,23251485,577723
Syria,23227014,1101765
Sri Lanka,21893579,61436
Malawi,20931751,526434
Zambia,20569737,552062
Romania,19892812,233545
Chile,19629590,25857
Kazakhstan,19606633,208635
Chad,18278568,555253
Ecuador,18190484,189484
Somalia,18143378,545867
Guatemala,18092026,248118
Senegal,17763163,446714
Netherlands,17618299,54285
Cambodia,16944826,176984
Zimbabwe,16665409,344872
Guinea,14190612,331271
Rwanda,14094683,317985
Benin,13712828,359964
Burundi,13238559,348983
Tunisia,12458223,102106
Bolivia,12388571,164461
Haiti,11724763,139767
Belgium,11686140,30210
Jordan,11337052,51183
Dominican Republic,11332972,104151
Cuba,11194449,-17742
South Sudan,11088796,175632
Sweden,10612086,62739
Honduras,10593798,160938
Czech Republic (Czechia),10495295,1309
Azerbaijan,10412651,54577
Greece,10341277,-43694
Papua New Guinea,10329931,187312
Portugal,10247605,-23260
Hungary,10156239,188931
Tajikistan,10143543,190756
United Arab Emirates,9516871,75742
Belarus,9498238,-36716
Israel,9174520,136211
Togo,9053799,205100
Austria,8958960,19343
Switzerland,8796669,56197
Sierra Leone,8791092,185374
Laos,7633779,104304
Hong Kong,7491609,2744
Serbia,7149077,-72288
Nicaragua,7046310,97918
Libya,6888388,76047
Paraguay,6861524,80780
Kyrgyzstan,6735347,104724
Bulgaria,6687717,-94236
Turkmenistan,6516100,85330
El Salvador,6364943,28551
Congo,6106869,136445
Singapore,6014723,39034
Denmark,5910913,28652
Slovakia,5795199,151746
Central African Republic,5742315,163171
Finland,5545475,4730
Norway,5474360,40041
Liberia,5418377,115696
State of Palestine,5371230,121158
Lebanon,5353930,-135809
New Zealand,5228100,42812
Costa Rica,5212173,31344
Ireland,5056935,33826
Mauritania,4862989,126850
Oman,4644384,68086
Panama,4468087,59506
Kuwait,4310108,41235
Croatia,4008617,-21741
Eritrea,3748901,64869
Georgia,3728282,-16103
Mongolia,3447157,48791
Moldova,3435931,162935
Uruguay,3423108,314
Puerto Rico,3260314,7907
Bosnia and Herzegovina,3210847,-22679
Albania,2832439,-9882
Jamaica,2825544,-1833
Armenia,2777970,-2499
Gambia,2773168,67176
Lithuania,2718352,-31703
Qatar,2716391,21269
Botswana,2675352,45056
Namibia,2604172,37160
Gabon,2436566,47574
Lesotho,2330318,24493
Guinea-Bissau,2150842,45276
Slovenia,2119675,-169
North Macedonia,2085679,-7920
Latvia,1830211,-20440
Equatorial Guinea,1714671,39763
Trinidad and Tobago,1534937,3893
Bahrain,1485509,13276
Timor-Leste,1360596,19300
Estonia,1322765,-3297
Mauritius,1300557,1088
Cyprus,1260138,8650
Eswatini,1210822,9152
Djibouti,1136455,15606
Réunion,981796,7744
Fiji,936375,6609
Comoros,852075,15301
Guyana,813834,5108
Bhutan,787424,4969
Solomon Islands,740424,16151
Macao,704149,8981
Luxembourg,654768,7169
Montenegro,626485,-597
Suriname,623236,5196
Cabo Verde,598682,5533
Western Sahara,587259,11273
Micronesia,544321,5308
Malta,535064,1778
Maldives,521021,-2766
Brunei ,452524,3522
Bahamas,412623,2639
Belize,410825,5553
Guadeloupe,395839,87
Iceland,375318,2419
Martinique,366981,-526
Mayotte,335995,9894
Vanuatu,334506,7766
French Guiana,312155,7598
French Polynesia,308872,2593
New Caledonia,292991,3041
Barbados,281995,360
Sao Tome & Principe,231856,4476
Samoa,225681,3299
Curaçao,192077,914
Saint Lucia,180251,394
Guam,172952,1178
Kiribati,133515,2283
Grenada,126183,745
Tonga,107773,915
Seychelles,107660,542
Aruba,106277,-168
St. Vincent & Grenadines,103698,-250
U.S. Virgin Islands,98750,-715
Antigua and Barbuda,94298,535
Isle of Man,84710,191
Andorra,80088,264
Dominica,73040,303
Cayman Islands,69310,604
Bermuda,64069,-115
Greenland,56643,177
Faeroe Islands,53270,180
Northern Mariana Islands,49796,245
Saint Kitts & Nevis,47755,98
Turks and Caicos,46062,359
Sint Maarten,44222,47
American Samoa,43914,-359
Marshall Islands,41996,427
Liechtenstein,39584,257
Monaco,36297,-172
San Marino,33642,-18
Gibraltar,32688,39
Saint Martin,32077,286
British Virgin Islands,31538,233
Caribbean Netherlands,27148,122
Palau,18058,3
Cook Islands,17044,33
Anguilla,15899,42
Nauru,12780,112
Wallis & Futuna,11502,-70
Tuvalu,11396,84
Saint Barthelemy,10994,27
Saint Pierre & Miquelon,5840,-22
Saint Helena,5314,-60
Montserrat,4386,-4
Falkland Islands,3791,11
Niue,1935,1
Tokelau,1893,22
Holy See,518,8
